id,customer_id,review_text,rating
1,1091,"Amazing customer support, will buy again.",4
2,1080,Would buy again!,3
3,1779,"Amazing customer support, will buy again.",4
4,1473,"Fast shipping, but packaging was poor.",2
5,1879,Product was damaged on arrival.,4
6,1677,"Disappointed, not as advertised.",1
7,1098,Affordable and high quality.,2
8,1201,The item is not as described.,5
9,1487,Not satisfied with the quality.,3
10,1407,"Amazing customer support, will buy again.",1
11,1914,Very good experience!,2
12,1818,"Excellent service, highly recommended!",1
13,1309,"Excellent service, highly recommended!",1
14,1304,Would buy again!,2
15,1128,"Excellent service, highly recommended!",5
16,1876,Great product! Fast delivery.,3
17,1968,"Amazing customer support, will buy again.",5
18,1521,Customer service was rude.,5
19,1037,Customer service was rude.,3
20,1565,Loved it! Very happy with my purchase.,4
21,1547,Product was damaged on arrival.,5
22,1398,"Amazing customer support, will buy again.",4
23,1129,Product was damaged on arrival.,4
24,1858,"Disappointed, not as advertised.",2
25,1245,Customer service was rude.,1
26,1296,Very good experience!,3
27,1148,"Terrible experience, would not recommend.",3
28,1754,Loved it! Very happy with my purchase.,1
29,1186,Customer service was rude.,4
30,1605,Customer service was rude.,4
31,1328,"Amazing customer support, will buy again.",1
32,1852,Customer service was rude.,1
33,1458,Product was damaged on arrival.,1
34,1006,Not satisfied with the quality.,3
35,1623,Loved it! Very happy with my purchase.,3
36,1079,"Fast shipping, but packaging was poor.",1
37,1467,Great product! Fast delivery.,3
38,1125,"Average, nothing special.",3
39,1603,Affordable and high quality.,5
40,1148,Would buy again!,4
41,1705,Would buy again!,5
42,1022,"Fast shipping, but packaging was poor.",5
43,1754,Customer service was rude.,1
44,1871,Would buy again!,2
45,1428,"Fast shipping, but packaging was poor.",4
46,1764,Product was damaged on arrival.,5
47,1891,"Excellent service, highly recommended!",3
48,1693,"Excellent service, highly recommended!",4
49,1702,Very good experience!,3
50,1554,The item is not as described.,4
51,1283,"Average, nothing special.",3
52,1748,The item is not as described.,3
53,1055,Would buy again!,2
54,1605,Loved it! Very happy with my purchase.,5
55,1884,Great product! Fast delivery.,5
56,1702,Great product! Fast delivery.,1
57,1935,"Average, nothing special.",3
58,1792,Customer service was rude.,3
59,1725,"Excellent service, highly recommended!",3
60,1998,Customer service was rude.,4
61,1011,Customer service was rude.,1
62,1345,Customer service was rude.,3
63,1920,Loved it! Very happy with my purchase.,3
64,1513,Loved it! Very happy with my purchase.,2
65,1751,Customer service was rude.,3
66,1252,"Amazing customer support, will buy again.",3
67,1246,Customer service was rude.,5
68,1153,Customer service was rude.,5
69,1195,Would buy again!,1
70,1246,Not satisfied with the quality.,2
71,1391,Not satisfied with the quality.,1
72,1958,"Amazing customer support, will buy again.",1
73,1229,Very good experience!,1
74,1472,Affordable and high quality.,1
75,1729,"Excellent service, highly recommended!",2
76,1524,Not satisfied with the quality.,2
77,1717,Great product! Fast delivery.,5
78,1450,"Amazing customer support, will buy again.",4
79,1173,"Disappointed, not as advertised.",1
80,1185,"Amazing customer support, will buy again.",4
81,1243,"Excellent service, highly recommended!",3
82,1993,"Fast shipping, but packaging was poor.",3
83,1716,Not satisfied with the quality.,3
84,1276,Very good experience!,4
85,1752,"Terrible experience, would not recommend.",5
86,1144,Not satisfied with the quality.,1
87,1265,"Excellent service, highly recommended!",4
88,1025,"Disappointed, not as advertised.",2
89,1581,"Disappointed, not as advertised.",2
90,1041,Product was damaged on arrival.,1
91,1282,"Amazing customer support, will buy again.",5
92,1007,Great product! Fast delivery.,4
93,1010,Not satisfied with the quality.,4
94,1516,Great product! Fast delivery.,3
95,1477,Would buy again!,1
96,1212,"Disappointed, not as advertised.",3
97,1224,Loved it! Very happy with my purchase.,5
98,1477,"Terrible experience, would not recommend.",3
99,1852,Loved it! Very happy with my purchase.,5
100,1807,Product was damaged on arrival.,4
101,1528,"Average, nothing special.",1
102,1900,Product was damaged on arrival.,2
103,1903,Would buy again!,3
104,1222,"Fast shipping, but packaging was poor.",3
105,1321,"Average, nothing special.",3
106,1210,"Disappointed, not as advertised.",4
107,1170,"Excellent service, highly recommended!",5
108,1683,"Disappointed, not as advertised.",3
109,1150,Affordable and high quality.,3
110,1097,Very good experience!,2
111,1981,Great product! Fast delivery.,4
112,1800,Not satisfied with the quality.,1
113,1600,Affordable and high quality.,2
114,1426,Not satisfied with the quality.,1
115,1380,Very good experience!,2
116,1762,Affordable and high quality.,2
117,1230,The item is not as described.,4
118,1242,"Average, nothing special.",4
119,1659,Customer service was rude.,1
120,1233,Great product! Fast delivery.,4
121,1365,"Excellent service, highly recommended!",3
122,1562,Customer service was rude.,4
123,1948,"Disappointed, not as advertised.",1
124,1588,"Fast shipping, but packaging was poor.",2
125,1865,Customer service was rude.,3
